Serial No,Event Date,Abstract Text,Nature of Injury
237,3/22/2017,"At 12:45 p.m. on March 22, 2017, Employee #1 was wearing plastic gloves, using an oil can to oil a chain and gear. The machine was energized and the guard was off. The glove and finger of the employee got caught in the nip point at the gear, amputating his fingertip. ","Amputation, Crushing"
238,3/22/2017,"On March 22, 2017, Employee #1, working alone, was retracting a section of lay-flat hose onto a hydraulic powered roller that was located on the rear of a boiler truck. He was on an elevated work platform, approximately 6 foot high, during a trench-less sewer repair process.  The boiler truck had a foot controller with a pressure switch originally on the truck when it came from the manufacturer.  The employer did an in house modification of the hydraulic control for the roller and added a hand lever switch.  This switch had been overridden by a bungee cord which caused the roller to continue spinning.  In addition, the hydraulic roller was not designed for nor intended for the use for which the employer was using it.  There was no means to cut the power to the hydraulic roller on the elevated work platform at the point of operation during operating cycles.  While Employee #1 was retracting and winding the hose onto the powered spinning roller he became entangled in the retracting hose and was pulled into the hydraulic roller entrapping him.  Employee #1 was killed. ",Serious Fall/Strike
239,3/22/2017,"On March 22, 2017, an employee was making stucco mix. The employee got inside the lift basket on the forklift to carry stucco mix to the work area.  The basket was unattached and fell off the forks, carrying the employee with it. The employee was hospitalized and treated for fractured cheekbone. ","Fracture, Broken Bones"
240,3/22/2017,"On March 22, 2017, an employee was making stucco mix. The employee got inside the lift basket on the forklift to carry stucco mix to the work area.  The basket was unattached and fell off the forks, carrying the employee with it. The employee was hospitalized and treated for fractured cheekbone. ","Fracture, Broken Bones"
241,3/22/2017,"At 11:45 a.m. on March 22, 2017, Employee #1 was ascending the fixed stairs. The employee stumbled and fell, as he was walking up the stairs. He hit his head on the corner of the concrete steps, and sustained a concussion, loss of consciousness, and laceration to his head. Employee #1 was hospitalized for his injuries. ",Head Trauma
242,3/22/2017,"At approximately 10:12 a.m. on March 22, 2017, Employee #1 was on a bridge disassembling a paving machine. A pin was removed and the machine fell from the bridge with Employee #1, approximately 25 feet.  Employee #1 died. ",Serious Fall/Strike
243,3/22/2017,"At 10:30 a.m. on March 22, 2017, Employee #1 was using the Eubanks tube cutting machine to cut two inch lengths of tubing. Static electricity had built up on the plastic tubing, causing it to clump at the outfeed. When this occurs, the employees are trained to tap on the bottom of the metal chute to discharge the static and release the clumped cut tubing. The employee reached under the guard, over the top of the chute, and swept the pieces away from the machine. When doing this, her right index finger entered the point of operations and the pad of her right index finger was amputated. ","Amputation, Crushing"
244,3/22/2017,"At 10:00 a.m. on March 22, 2017, Employee #1 was operating an 11 year old Orion L66-95 pallet wrapper, applying plastic wrap to a pallet full of boxes. The pallet was placed on a turntable that rotates clockwise while a roll of plastic wrap is automatically raised by an automated arm with a pre-set number of turns, until the stacked pallet is wrapped. After initiating the pallet wrapping turntable to spin, the employee tried to tuck the plastic into the spinning pallet.  Her finger was pulled into the unguarded running point between the metal frame and the turntable, resulting in a fingertip amputation. ",Laceration
245,3/22/2017,"At 9:00 a.m. on March 22, 2017, Employee #1 was using the printer to print ""JPL"" on the duct work. The tape on the machine was becoming loose, so the employee tried to press it down while the machine was running. Employee #1's ring finger tip was amputated. ","Amputation, Crushing"
246,3/22/2017,"At approximately 9:30 a.m. on March 22, 2017, an employee was framing a wall from a frame ladder. The employee slipped and fell 8 feet to the ground. The employee suffered fractured leg but was not hospitalized. ","Fracture, Broken Bones"
247,3/22/2017,"At 8:30 a.m. on March 22, 2017, Employee #1 was changing dies inside of the core press. The press was activated, and the table lowered, pinning and crushing his left foot. The employee's left foot sustained broken bones and amputation of the little toe. ","Amputation, Crushing"
248,3/22/2017,"At approximately 7:30 a.m. on March 22, 2017, Employee #1 was installing a metal scaffold plank when he lost his balance and fell 24 feet to a concrete floor.  Employee #1 died. ",Laceration
249,3/22/2017,"At approximately 7:50 a.m. on March 22, 2017, Employee #1 and Employee #2 were removing traffic cones from a bed of a truck for placing onto a road for a lane closure.  A vehicle veered into the work zone and struck the back of the work truck which shifted forward and struck Employee #1 and Employee #2.  They were transported to a hospital were Employee #1 died and Employee #2 suffered lacerations to his face and arm. ",Dislocation
250,3/22/2017,"At approximately 5:30 p.m. on March 22, 2017, an employee was moving a vibratory roller to a lower level location when the equipment overturned.  He slid down the hill hit a tree and tipped over. The employee suffered head injury and lost consciousness and was hospitalized. ",Head Trauma
251,3/22/2017,"At 4:45 p.m. on March 22, 2017, Employee #1 was filling ammonia nurse tanks from the bulk plant. The employee was distracted while closing the valves, and mistakenly turned the wrong valve, causing a pressure release in the line. The release of anhydrous ammonia splashed on the employee's face. Employee #1 suffered chemical burns on/around his face and was hospitalized for his injuries. ",Chemical Burn
252,3/22/2017,"At 4:10 p.m. on March 22, 2017, a machine operator was troubleshooting his machine. Unbeknown to Employee #1, the machine operator was washing the parts with hot water (80 degrees C - 176 F). The employee was standing near the machine when it was activated, and was burned by the hot water on his wrists, hands, cheek and forehead.  Employee #1 was hospitalized for second degree burns to his left hand. ",Fire Burn
253,3/22/2017,"At 4:55 p.m. on March 22, 2017, Employee #1 was standing on the right side of an intermittently rotating/revolving Kalix Dupey tube holder of a filling machine and cleaning the undersurface with a paper towel.  During the cleaning process, her right middle fingertip was pinched/crushed between the reciprocating tube ejector rod and the rotating/revolving tube holder plate. The employees fingertip was crushed, and she sustained a deep laceration. Employee #1 was taken to the hospital, treated and released. ",Laceration
254,3/22/2017,"At approximately 4:00 p.m. on March 22, 2017, an employee, a drywall finisher, was applying tape and joint compound to an interior gypsum wall while working from a Skyjack scissor lift, Model Number SJ III-3219, Serial Number 22093122. The employee was working after hours on a multi-employer construction site to finish a small section of drywall and was the only person on site at time of the incident. The employee fell to a concrete floor during the course of his work and suffered a head laceration, spinal cord injury, and nerve damage. No one witnessed the fall. When the employee was discovered after the fall, emergency response was called and the employee was transported to the University of Vermont Medical Center for treatment. He was later transported to Spaulding Rehabilitation Hospital in Charleston, Massachusetts for advanced spinal cord injury care/rehabilitation. The employee had little recollection of the incident and the details were unclear regarding his height or position prior to the fall. The scissor lift was reported to be all the way down by witnesses that discovered the incident and emergency responders. ",Laceration
